
0,95.637014,126.820985
1,252.607510,127.510196
2,355.092390,128.650771
3,317.859859,132.834853
4,406.954492,133.069866
5,225.898262,139.036718
6,293.078347,140.376406
7,103.214595,147.339669
8,460.992974,148.463437
9,488.258620,152.873311
10,324.037206,164.962609
11,616.880299,166.084457
12,485.956371,169.302405
13,560.316223,170.522959
14,212.871684,175.183021
15,136.341267,176.847496
16,281.585565,176.848833
17,498.867827,182.415600
18,389.541655,182.574616
19,103.076739,184.811319
20,190.908722,185.734688
21,340.493098,188.677122
22,617.872046,192.502048
23,168.687391,196.712163
24,558.122842,200.855899
25,371.373870,206.560027
26,579.235904,207.594373
27,335.830643,212.741519
28,220.351353,215.799525
29,548.992456,220.582026
30,81.518252,222.807723
31,482.272904,223.493494
32,114.959080,225.962551
33,235.237584,252.062568
34,193.207711,262.954959
35,245.705463,262.724300
